Time,Humidity_pct
00:15,54.6
00:55,54.7
00:59,54.7
01:56,54.7
01:58,54.9
02:51,52.9
03:45,53.3
03:50,53.4
04:47,54.2
04:57,53.9
05:18,53.3
05:46,53.0
06:10,52.9
06:39,52.2
06:40,52.4
07:31,51.9
07:35,51.7
08:22,58.0
08:28,56.0
08:32,54.9
08:49,54.0
09:26,55.4
09:28,60.3
10:19,54.2
10:25,53.9
10:38,53.3
11:24,52.2
11:31,52.1
11:56,51.6
12:17,50.8
13:10,51.1
14:01,53.9
14:08,53.7
14:51,52.3
15:01,51.9
15:12,51.6
15:26,51.1
16:00,50.4
16:08,50.2
16:35,50.0
16:53,53.7
17:07,54.6
17:15,55.3
17:26,55.1
17:48,56.0
18:44,56.4
18:45,61.9
18:46,68.3
19:01,55.7
19:22,55.0
19:36,53.3
