Time,Humidity_pct
00:26,47.7
00:26,47.6
00:33,47.5
00:49,49.3
01:22,49.7
01:22,49.7
01:32,50.4
02:20,54.8
03:18,51.9
03:26,51.2
05:08,55.9
05:12,55.8
05:24,54.8
05:47,51.1
06:04,50.2
07:03,55.3
07:08,55.4
07:57,53
08:15,51.3
08:39,51.4
08:46,52.2
08:48,52.7
08:54,53.6
09:07,55.3
09:40,54.8
10:35,51.5
11:28,50.5
12:23,56
13:02,49.3
13:20,48.9
13:21,48.7
14:22,50.1
14:22,50.1
14:54,48
15:13,47.2
16:09,47
17:09,46.1
17:44,44.8
18:07,43.7
19:03,43.5
19:07,43.4
19:50,44.4
20:01,44.1
20:46,43.6
20:55,45
21:11,47.5
21:51,50.2
21:53,50.2
22:36,50.7
22:47,50.8
23:42,49.2
