Time,Temp_F
00:14,72.6
00:29,72.4
00:34,72.3
01:22,72.7
01:56,73.1
02:18,73.3
02:42,73.0
03:13,72.5
03:58,73.0
04:06,73.0
04:34,73.4
05:04,73.2
05:41,73.2
05:54,73.2
06:23,73.2
06:45,72.3
06:47,72.3
07:36,72.4
07:39,72.4
08:33,73.0
08:58,73.0
09:31,72.6
10:25,72.5
10:43,72.5
11:13,71.8
11:24,71.7
12:04,70.9
12:23,70.8
13:16,70.7
14:11,71.5
14:32,71.8
14:54,72.1
15:08,72.2
15:42,71.7
16:01,71.6
16:15,71.6
16:37,71.5
16:53,71.4
17:04,71.3
17:12,71.4
17:27,71.8
17:51,72.0
18:42,72.7
18:47,72.7
18:50,72.7
19:22,72.2
