Time,Humidity_pct
00:46,50.4
01:00,50.6
01:21,56.6
01:21,62.8
01:24,56.1
01:39,51.1
01:52,50.1
02:37,48.7
03:16,51.5
03:28,52
04:22,48.8
05:18,47.6
05:19,47.7
05:33,51
06:18,49.5
06:27,49.1
07:16,47.8
08:02,52
08:14,52.7
09:08,49.3
09:20,48.9
09:47,51.7
09:59,52.7
10:57,54.5
11:28,54.1
11:54,51.2
12:45,54.5
12:53,54.8
13:13,62.3
13:14,66.8
13:15,62
13:17,57.3
13:20,54.8
13:28,52.4
13:44,50.9
14:06,50.6
14:22,50.9
14:44,51.3
14:59,51.5
15:35,51.3
16:22,57.5
16:32,52.2
16:34,52.2
17:04,52.2
17:27,53.7
17:29,52
17:33,50.5
17:33,50.6
17:49,49.1
18:23,49
19:15,49.2
19:41,49.2
20:12,50
20:13,50.1
20:33,50.3
21:12,51.5
21:56,50.9
22:07,51
22:19,50.8
22:50,50.2
23:03,50.2
23:30,49.1
23:58,47.9
