Time,Humidity_pct
00:14,51.3
00:29,50.8
00:34,52.1
01:22,56.3
01:56,58.2
02:18,59.4
02:42,53.7
03:13,53.7
03:58,57.9
04:06,58.1
04:34,58.3
05:04,55.1
05:41,55.6
05:54,56.7
06:23,55.9
06:45,51.1
06:47,51.5
07:36,56.7
07:39,56.7
08:33,59.2
08:58,56.8
09:31,54.3
10:25,57.8
10:43,58.9
11:13,52.9
11:24,53.1
12:04,53.1
12:23,53.3
13:16,53.3
14:11,54.0
14:32,53.5
14:54,57.1
15:08,56.3
15:42,52.4
16:01,52.4
16:15,52.3
16:37,52.5
16:53,51.0
17:04,49.8
17:12,51.2
17:27,51.7
17:51,52.1
18:42,52.0
18:47,51.9
18:50,51.7
19:22,49.2
