Time,Temp_F
00:26,74.9
00:26,74.8
00:33,74.8
00:49,75.1
01:22,75.5
01:22,75.5
01:32,75.5
02:20,76.3
03:18,76.5
03:26,76.3
05:08,76.7
05:12,76.7
05:24,76.8
05:47,76.4
06:04,76.2
07:03,76.4
07:57,76.6
08:15,76.3
08:39,76.1
08:46,76.0
08:48,76.1
08:54,76.1
09:40,76.3
10:35,75.8
11:28,75.5
12:23,76.7
13:02,76.5
13:20,76.6
13:21,76.6
14:22,77.1
14:22,77.1
15:13,75.4
15:23,75.3
16:09,75.0
17:09,74.9
17:44,74.8
18:07,74.6
19:03,73.9
19:07,73.9
19:50,73.6
20:01,73.6
20:46,72.7
20:55,72.7
21:11,73.7
21:51,74.5
22:36,75.1
22:47,75.1
22:58,75.3
23:42,74.8
