Time,Humidity_pct
00:29,53.9
01:09,58.1
01:12,52.0
01:24,50.9
01:36,50.2
02:17,52.1
02:44,53.1
03:13,50.2
03:14,50.2
04:11,48.8
04:12,48.8
04:32,48.6
04:50,48.4
05:09,52.4
05:54,49.6
06:03,49.4
06:56,48.1
07:01,48.1
07:02,48.0
07:54,47.4
08:52,50.4
09:48,53.5
09:50,54.0
10:39,54.4
11:15,52.3
11:36,50.9
11:39,50.8
12:33,54.2
12:36,58.9
12:36,65.2
12:38,59.0
12:43,65.7
12:44,61.9
12:47,57.2
12:51,54.9
13:00,53.0
13:32,51.7
13:47,54.7
13:51,52.8
13:59,53.1
14:19,53.5
14:26,53.8
14:28,61.8
14:30,55.7
15:08,54.4
15:19,54.3
15:43,54.7
16:10,54.7
16:19,54.7
16:33,54.7
17:16,55.2
17:39,55.0
18:14,54.7
18:22,54.7
19:09,54.4
19:37,62.5
19:38,64.0
19:39,57.6
19:42,55.1
19:49,52.8
20:01,51.2
20:14,51.0
20:42,50.0
20:59,49.8
20:59,49.8
21:20,49.7
21:43,49.7
21:58,50.0
22:03,49.9
22:20,50.0
22:50,50.1
23:46,48.2
23:50,48.0
