Time,Humidity_pct
03:22,50.5
04:01,49.5
04:15,49.5
05:12,48.7
05:56,48.6
06:04,48.7
06:29,48.7
06:50,48.6
06:59,48.5
07:00,48.5
07:37,48.7
07:54,50.5
07:55,51.0
08:25,51.6
08:46,51.6
08:51,50.9
09:44,48.7
10:41,47.6
11:32,53.6
12:01,54.8
12:16,51.7
12:24,50.8
12:47,59.0
12:49,65.1
12:53,59.1
13:12,65.1
13:15,67.2
13:17,63.6
13:19,61.3
13:21,60.0
13:23,59.2
13:32,56.3
14:03,56.2
14:21,54.8
14:28,55.3
14:49,55.0
15:18,54.8
15:36,54.8
16:10,54.2
16:37,53.1
16:46,52.9
17:10,54.5
17:22,54.8
18:03,60.9
18:08,57.2
18:18,54.9
18:42,55.2
18:59,54.9
19:39,54.6
19:50,54.5
20:01,54.3
20:45,54.7
21:13,54.7
21:34,54.7
21:36,54.9
22:02,54.6
22:34,53.0
22:50,52.1
23:34,50.5
