Time,Humidity_pct
02:27,59.1
02:36,56.5
03:26,58.2
03:48,58.0
04:20,61.3
05:15,58.7
05:18,57.4
05:37,63.4
05:57,59.7
06:06,61.8
06:30,60.6
06:51,64.1
07:03,62.1
07:06,63.6
07:37,62.3
07:55,62.9
08:06,62.0
08:25,60.8
08:54,60.5
09:01,61.7
09:56,60.9
10:52,60.3
11:44,60.9
12:42,56.3
12:50,56.6
13:39,60.9
13:41,62.6
14:10,64.1
14:35,64.3
14:55,61.7
15:33,58.9
15:54,57.9
16:09,59.8
16:24,62.8
16:27,63.0
16:37,61.1
16:45,60.4
17:18,56.0
17:20,55.5
17:34,54.1
17:43,53.5
18:12,53.6
19:01,50.5
19:09,50.3
19:53,52.8
20:05,52.9
20:48,52.2
21:03,51.8
21:15,51.7
21:50,51.4
21:59,51.0
22:17,50.8
22:48,53.4
22:53,53.8
22:59,54.4
23:32,51.4
23:55,48.9
23:56,49.0
