Date,Time,Main_Temp_F,Main_Humidity_pct,Basement_Temp_F,Basement_Humidity_pct,BedroomAqara_Temp_F,BedroomAqara_Humidity_pct,BedroomHomePod_Temp_F,BedroomHomePod_Humidity_pct,Crawlspace_Temp_F,Crawlspace_Humidity_pct
2026-07-09,19:00,69.08°F,56,78.26°F,48,76.46°F,49,69.8°F,,,,
2026-07-09,19:42,69.08°F,56,77.72°F,48,76.46°F,49,69.8°F,,,,
2026-07-09,21:00,68.72°F,56,76.82°F,48,76.82°F,48,69.44°F,,,,
2026-07-09,23:01,68.18°F,56,76.28°F,48,76.46°F,52,72.86°F,,,,
2026-07-10,00:58,71.78°F,56,76.82°F,46,76.46°F,53,73.4°F,,,,
2026-07-10,06:00,69.26°F,54,74.84°F,48,75.92°F,50,71.78°F,,,,
2026-07-10,09:00,72.14°F,54,74.84°F,49,74.66°F,50,69.44°F,,,,
2026-07-10,09:53,69.44°F,54,76.28°F,52,74.66°F,52,70.7°F,55,74.48°F,65,38.84°F
2026-07-10,13:30,72.32°F,54,74.48°F,49,75.02°F,52,69.62°F,,,,
2026-07-10,15:46,70.7°F,56,77.36°F,49,74.66°F,52,69.62°F,,,,
2026-07-10,17:00,70.7°F,56,77.18°F,50,75.56°F,52,69.62°F,,,,
2026-07-10,17:10,70.7°F,56,76.28°F,50,75.56°F,51,69.62°F,,,,
2026-07-10,19:00,69.62°F,56,75.74°F,49,75.92°F,52,72.32°F,,,,
2026-07-10,21:00,72.32°F,54,75.56°F,49,74.84°F,49,70.52°F,,,,
2026-07-10,23:01,69.08°F,54,76.28°F,52,74.48°F,51,70.52°F,,,,
2026-07-11,00:58,71.96°F,56,77.18°F,51,75.02°F,55,73.04°F,,,,
2026-07-11,06:00,71.24°F,54,76.46°F,49,75.56°F,57,73.04°F,,,,
2026-07-11,09:00,69.44°F,54,74.48°F,51,75.02°F,52,69.44°F,,,,
2026-07-11,13:30,70.52°F,54,74.66°F,51,73.94°F,51,69.62°F,,,,
2026-07-11,17:00,69.8°F,54,77.18°F,49,75.56°F,52,69.62°F,,,,
2026-07-11,18:02,69.26°F,56,76.64°F,49,75.92°F,51,69.8°F,,,,
2026-07-11,21:00,70.7°F,56,77.18°F,49,75.2°F,50,70.7°F,,,,
2026-07-11,22:23,71.24°F,54,76.82°F,49,74.84°F,53,71.24°F,,,,
2026-07-11,22:23,71.24°F,54,76.82°F,49,74.84°F,53,71.24°F,,,,
2026-07-11,23:01,70.88°F,54,76.1°F,49,75.2°F,52,69.98°F,,,,
2026-07-12,00:58,71.06°F,54,76.46°F,47,75.02°F,49,71.6°F,,,,
2026-07-12,06:00,70.16°F,54,75.92°F,47,74.84°F,51,72.68°F,,,,
2026-07-12,08:36,69.62°F,54,75.02°F,48,75.2°F,54,69.44°F,,,,
2026-07-12,09:00,68.9°F,54,74.66°F,48,75.2°F,54,69.62°F,,,,
2026-07-12,13:30,70.7°F,56,74.48°F,49,73.58°F,50,69.62°F,,,,
2026-07-12,14:24,68.54°F,56,74.12°F,49,75.02°F,51,71.06°F,,,,
2026-07-12,14:39,68.54°F,56,74.84°F,49,75.92°F,51,72.32°F,,,,
2026-07-12,14:40,68.54°F,56,74.84°F,49,75.92°F,51,72.5°F,,73.94°F,61,33.98°F
2026-07-12,16:35,68.54°F,56,79.16°F,47,75.02°F,46,69.8°F,50,75.38°F,67,39.38°F
2026-07-12,17:00,68.54°F,56,78.98°F,47,75.02°F,45,69.8°F,49,75.38°F,67,41.18°F
2026-07-12,18:02,68.72°F,56,77.36°F,48,75.74°F,48,69.98°F,54,75.74°F,67,35.6°F
2026-07-12,19:00,68.54°F,56,76.82°F,49,76.28°F,49,69.8°F,55,75.92°F,66,39.38°F
2026-07-12,19:31,68.54°F,56,75.74°F,49,76.46°F,48,69.98°F,55,75.92°F,65,40.46°F
2026-07-12,21:00,68.54°F,56,76.64°F,47,76.28°F,48,71.96°F,49,75.74°F,66,44.42°F
2026-07-12,23:01,69.08°F,54,75.74°F,47,76.28°F,48,71.96°F,57,75.2°F,57,41°F
2026-07-13,03:17,70.88°F,54,75.56°F,47,76.28°F,51,71.24°F,55,74.66°F,60,36.5°F
2026-07-13,06:00,70.88°F,54,75.38°F,46,75.2°F,49,72.68°F,49,74.48°F,66,45.5°F
2026-07-13,09:00,70.88°F,54,75.02°F,46,75.2°F,53,73.22°F,53,74.3°F,74,37.4°F
