Date,Time,Main_Temp_F,Main_Humidity_pct,Basement_Temp_F,Basement_Humidity_pct,BedroomAqara_Temp_F,BedroomAqara_Humidity_pct,BedroomHomePod_Temp_F,BedroomHomePod_Humidity_pct,Crawlspace_Temp_F,Crawlspace_Humidity_pct
2026-07-26,18:02,67.46°F,54,77.72°F,44,73.4°F,48,69.62°F,50,73.76°F,68,44.06°F
2026-07-26,19:00,69.44°F,52,77.36°F,45,73.76°F,49,69.8°F,54,74.3°F,62,36.5°F
2026-07-26,19:42,69.44°F,52,77.54°F,44,73.58°F,51,71.6°F,55,74.48°F,61,33.98°F
2026-07-26,21:00,69.44°F,52,76.46°F,46,73.76°F,50,69.8°F,53,73.94°F,69,33.44°F
2026-07-26,23:01,69.8°F,54,76.46°F,44,73.04°F,48,71.6°F,50,74.3°F,59,35.42°F
2026-07-27,00:58,69.8°F,54,75.56°F,45,74.3°F,53,71.96°F,54,73.94°F,66,38.84°F
2026-07-27,06:00,70.88°F,52,75.2°F,45,73.76°F,53,72.32°F,52,73.22°F,76,45.68°F
2026-07-27,09:00,70.88°F,52,75.38°F,44,72.86°F,48,71.96°F,49,73.04°F,76,42.08°F
2026-07-27,13:30,70.16°F,54,78.62°F,44,71.96°F,49,69.44°F,51,74.12°F,77,37.4°F
2026-07-27,17:00,68.9°F,54,74.48°F,49,72.5°F,46,67.46°F,50,75.74°F,69,39.74°F
2026-07-27,18:02,68.72°F,54,79.7°F,45,73.04°F,47,69.44°F,51,76.28°F,72,33.98°F
2026-07-27,19:00,68.72°F,54,78.62°F,45,73.58°F,50,68°F,53,76.1°F,70,40.46°F
2026-07-27,21:00,69.26°F,54,77.18°F,45,74.84°F,49,70.88°F,51,75.74°F,58,37.76°F
2026-07-27,23:01,69.44°F,54,76.64°F,44,74.3°F,53,71.6°F,55,75.38°F,57,39.02°F
2026-07-28,00:58,69.44°F,52,75.92°F,45,75.02°F,52,72.68°F,54,75.02°F,57,40.28°F
2026-07-28,06:00,71.42°F,52,75.74°F,43,73.58°F,51,71.96°F,48,74.3°F,68,33.8°F
2026-07-28,09:00,71.42°F,52,75.56°F,44,73.58°F,54,72.68°F,52,73.94°F,69,41.72°F
2026-07-28,13:30,71.42°F,52,75.92°F,51,73.4°F,57,72.32°F,55,73.94°F,68,43.7°F
2026-07-28,17:00,69.8°F,54,74.84°F,48,72.86°F,51,69.44°F,49,74.48°F,71,35.06°F
2026-07-28,18:02,69.08°F,54,74.12°F,49,72.86°F,47,69.62°F,48,74.3°F,66,43.7°F
2026-07-28,19:00,69.08°F,54,76.28°F,48,73.04°F,47,69.62°F,49,74.84°F,68,46.58°F
2026-07-28,21:00,68.54°F,54,76.82°F,47,74.3°F,53,72.32°F,52,75.02°F,61,32.18°F
2026-07-28,23:01,69.8°F,54,75.74°F,47,73.94°F,51,71.42°F,51,74.3°F,64,37.22°F
2026-07-29,00:58,69.8°F,54,76.46°F,45,74.84°F,56,73.4°F,55,74.48°F,62,40.64°F
2026-07-29,06:00,69.8°F,54,75.56°F,45,73.4°F,49,72.5°F,46,73.4°F,72,45.32°F
2026-07-29,09:00,69.8°F,52,74.84°F,45,73.22°F,52,72.14°F,51,73.04°F,63,36.86°F
2026-07-29,13:30,69.44°F,52,74.84°F,45,73.22°F,55,70.88°F,50,73.22°F,58,37.94°F
2026-07-29,17:00,70.7°F,52,73.94°F,46,73.22°F,48,71.06°F,48,73.58°F,65,37.22°F
2026-07-29,18:02,70.7°F,52,73.04°F,46,74.12°F,48,71.24°F,47,73.4°F,62,41.72°F
2026-07-29,21:00,70.7°F,52,75.92°F,45,74.12°F,49,71.78°F,47,73.76°F,64,37.76°F
2026-07-29,23:01,68.36°F,52,75.56°F,44,74.66°F,51,71.78°F,49,73.58°F,59,40.1°F
2026-07-30,00:58,70.34°F,52,75.74°F,43,75.2°F,55,73.58°F,51,72.86°F,65,38.12°F
2026-07-30,09:00,72.32°F,52,75.02°F,44,73.58°F,55,72.68°F,53,70.7°F,65,44.78°F
2026-07-30,13:30,71.78°F,52,75.02°F,43,74.12°F,56,73.04°F,49,71.6°F,65,37.22°F
2026-07-30,17:00,71.78°F,52,73.76°F,44,73.76°F,44,70.88°F,46,72.68°F,64,39.38°F
2026-07-30,18:02,67.1°F,52,73.04°F,45,74.84°F,46,70.88°F,47,73.22°F,61,40.1°F
2026-07-30,19:00,66.2°F,52,75.2°F,44,75.92°F,45,71.06°F,46,73.58°F,61,34.88°F
2026-07-30,21:00,69.62°F,54,77.18°F,43,75.02°F,46,71.96°F,47,74.3°F,56,34.52°F
2026-07-31,06:00,71.6°F,52,75.38°F,44,74.3°F,51,71.6°F,50,70.52°F,65,39.02°F
2026-07-31,09:00,71.6°F,52,75.02°F,44,73.4°F,52,71.24°F,50,69.8°F,66,36.68°F
2026-07-31,13:30,71.24°F,52,73.4°F,45,73.94°F,48,68°F,48,71.24°F,65,44.96°F
2026-07-31,17:00,65.3°F,54,71.96°F,46,74.3°F,46,69.98°F,47,72.5°F,64,38.48°F
2026-07-31,18:02,65.66°F,54,76.46°F,44,74.66°F,46,69.8°F,48,72.86°F,64,43.7°F
2026-07-31,19:00,65.66°F,54,75.38°F,44,74.84°F,43,69.8°F,47,73.76°F,65,38.3°F
2026-07-31,21:00,65.3°F,54,75.02°F,46,73.4°F,49,68.36°F,52,73.76°F,64,41.9°F
2026-08-01,00:58,69.8°F,54,74.84°F,43,72.14°F,57,69.62°F,59,73.04°F,53,43.16°F
2026-08-01,06:00,68.9°F,54,75.38°F,43,73.4°F,57,72.14°F,58,72.5°F,67,38.12°F
2026-08-01,09:00,68.9°F,54,74.3°F,43,73.22°F,52,70.7°F,56,72.32°F,62,39.56°F
2026-08-01,13:30,64.76°F,54,72.86°F,49,72.5°F,52,66.38°F,57,72.5°F,65,41.9°F
2026-08-01,17:00,67.28°F,58,76.28°F,46,72.5°F,56,70.34°F,57,73.4°F,69,39.38°F
2026-08-01,18:02,67.1°F,56,75.2°F,46,72.5°F,51,66.92°F,56,73.04°F,69,43.7°F
2026-08-01,19:00,66.92°F,56,73.94°F,46,72.32°F,50,66.02°F,56,73.22°F,68,35.78°F
2026-08-01,21:00,65.66°F,56,73.4°F,47,71.96°F,50,66.92°F,57,72.86°F,63,43.88°F
2026-08-01,23:01,67.28°F,54,73.22°F,47,71.42°F,51,66.74°F,56,72.86°F,67,40.28°F
2026-08-02,06:00,68.18°F,56,73.58°F,44,72.32°F,61,70.7°F,65,72.14°F,56,35.96°F
2026-08-02,09:00,69.8°F,56,73.22°F,46,73.04°F,55,69.8°F,61,71.96°F,61,40.28°F
2026-08-02,13:30,69.26°F,56,74.48°F,52,72.32°F,56,70.88°F,57,72.32°F,60,41.9°F
2026-08-02,17:00,68.9°F,56,73.22°F,50,72.68°F,53,66.56°F,58,73.58°F,73,39.2°F
2026-08-02,18:02,66.2°F,56,73.22°F,51,72.86°F,52,67.46°F,58,73.04°F,68,34.7°F
2026-08-02,19:00,68.54°F,56,75.56°F,57,73.22°F,56,69.98°F,53,73.04°F,66,35.96°F
2026-08-02,21:00,71.06°F,58,76.64°F,55,73.94°F,59,73.04°F,62,73.58°F,69,36.86°F
2026-08-02,23:01,72.5°F,58,77°F,52,74.84°F,56,73.4°F,59,73.58°F,71,36.32°F
2026-08-03,00:58,73.04°F,58,77°F,52,75.38°F,60,73.58°F,61,73.76°F,67,44.42°F
2026-08-03,06:00,73.4°F,58,75.92°F,48,75.38°F,57,72.68°F,59,73.4°F,78,37.22°F
2026-08-03,09:00,73.4°F,58,75.92°F,48,75.38°F,58,73.94°F,58,73.22°F,79,36.86°F
2026-08-03,13:30,71.6°F,56,75.02°F,48,75.2°F,54,69.8°F,51,73.04°F,77,42.8°F
2026-08-03,17:00,67.46°F,56,77.72°F,46,75.74°F,54,70.16°F,56,74.3°F,62,39.2°F
2026-08-03,18:02,70.7°F,56,76.64°F,46,75.56°F,48,69.98°F,54,74.66°F,71,40.82°F
2026-08-03,19:00,70.7°F,56,75.74°F,47,75.74°F,48,68.72°F,57,74.66°F,71,42.62°F
2026-08-03,21:00,70.7°F,56,76.82°F,45,76.46°F,53,73.22°F,57,74.66°F,59,37.22°F
2026-08-03,23:01,71.78°F,56,76.46°F,45,76.28°F,49,70.16°F,55,73.76°F,65,42.62°F
2026-08-04,00:58,71.78°F,54,76.64°F,45,76.46°F,53,73.58°F,57,73.94°F,70,35.42°F
2026-08-04,13:30,71.42°F,54,76.1°F,46,74.66°F,50,71.78°F,51,72.68°F,71,45.86°F
2026-08-04,17:00,68.72°F,54,75.74°F,47,75.74°F,47,71.6°F,50,74.3°F,70,39.02°F
2026-08-04,18:02,69.26°F,54,74.84°F,48,75.56°F,44,70.16°F,49,75.38°F,73,36.14°F
2026-08-04,21:00,67.64°F,54,77.9°F,47,76.64°F,50,70.16°F,52,75.2°F,66,39.38°F
2026-08-04,23:01,72.68°F,54,77.54°F,46,75.92°F,47,71.06°F,49,75.2°F,72,45.86°F
2026-08-05,00:58,72.68°F,54,76.82°F,45,76.46°F,50,72.14°F,52,74.84°F,59,42.26°F
2026-08-05,06:00,71.96°F,54,75.92°F,46,75.92°F,51,73.04°F,52,74.3°F,60,37.94°F
2026-08-05,06:16,71.78°F,54,76.1°F,45,75.02°F,46,72.86°F,50,74.48°F,56,39.74°F
2026-08-05,09:00,71.78°F,54,76.1°F,45,75.2°F,53,73.22°F,51,74.48°F,67,41.72°F
2026-08-05,13:30,70.7°F,54,75.56°F,54,75.02°F,57,69.98°F,55,74.3°F,64,33.44°F
2026-08-05,17:00,68.54°F,54,75.02°F,51,75.38°F,50,69.44°F,56,75.2°F,67,41.9°F
2026-08-05,18:02,68.36°F,56,75.38°F,57,75.74°F,51,69.44°F,57,75.2°F,76,39.92°F
2026-08-05,18:42,68.36°F,56,75.92°F,56,75.74°F,51,70.16°F,57,75.02°F,69,38.66°F
2026-08-05,19:00,70.52°F,56,77°F,55,76.1°F,53,71.06°F,57,75.2°F,66,41.36°F
2026-08-05,21:00,71.42°F,56,75.74°F,53,75.38°F,50,72.14°F,55,75.02°F,64,39.38°F
2026-08-05,23:01,71.06°F,54,76.28°F,52,75.74°F,53,72.14°F,57,74.84°F,65,36.68°F
2026-08-06,00:58,72.86°F,54,76.82°F,52,76.1°F,54,72.86°F,56,75.02°F,63,39.56°F
2026-08-06,06:00,72.14°F,54,75.38°F,48,74.66°F,52,71.06°F,53,74.48°F,71,42.62°F
2026-08-06,09:19,72.14°F,54,75.2°F,48,74.84°F,53,70.7°F,54,74.3°F,77,44.6°F
2026-08-06,13:30,70.7°F,56,76.82°F,62,74.48°F,50,69.8°F,56,74.48°F,69,34.52°F
2026-08-06,17:00,71.06°F,58,79.52°F,49,74.3°F,51,68.54°F,57,77°F,76,42.8°F
2026-08-06,18:02,71.06°F,58,78.26°F,49,74.48°F,52,69.44°F,59,77.54°F,72,37.22°F
2026-08-06,19:00,70.7°F,58,77.72°F,50,75.56°F,53,69.62°F,59,77.72°F,72,33.44°F
2026-08-06,21:00,69.62°F,56,78.62°F,48,76.46°F,50,69.98°F,57,76.64°F,64,38.84°F
2026-08-06,23:01,69.26°F,56,77.18°F,47,73.58°F,48,68.9°F,54,75.92°F,64,42.98°F
2026-08-07,00:58,72.32°F,56,77.54°F,46,75.2°F,53,71.96°F,54,75.74°F,57,33.08°F
2026-08-07,06:00,72.5°F,54,77.18°F,45,76.1°F,56,73.58°F,57,75.2°F,67,43.52°F
2026-08-07,09:00,71.06°F,56,76.46°F,46,75.74°F,55,72.32°F,57,74.84°F,72,38.84°F
2026-08-07,13:30,70.52°F,56,77.54°F,47,74.66°F,54,70.34°F,57,75.38°F,71,36.86°F
2026-08-07,17:00,70.34°F,56,76.46°F,49,74.84°F,48,68.9°F,54,76.64°F,73,41.54°F
2026-08-07,18:02,70.34°F,56,76.28°F,49,75.02°F,50,69.62°F,56,77°F,72,39.2°F
2026-08-07,19:00,70.34°F,56,75.56°F,49,75.38°F,50,69.62°F,56,76.64°F,70,33.98°F
2026-08-07,21:00,70.34°F,56,77.9°F,47,75.56°F,47,70.52°F,52,75.74°F,60,41.36°F
2026-08-07,23:01,72.32°F,54,77°F,48,75.74°F,51,69.62°F,56,76.28°F,72,32.36°F
2026-08-08,00:58,71.24°F,56,77.54°F,46,75.56°F,52,71.96°F,55,75.92°F,66,40.1°F
2026-08-08,06:00,72.14°F,56,77.36°F,45,75.56°F,50,73.04°F,51,75.2°F,56,38.12°F
2026-08-08,09:00,70.7°F,54,76.46°F,45,75.56°F,53,72.68°F,54,74.48°F,75,42.44°F
2026-08-08,13:30,71.24°F,54,75.92°F,52,74.66°F,53,70.16°F,55,74.66°F,70,36.68°F
2026-08-08,17:00,68.54°F,56,74.66°F,50,75.56°F,52,69.44°F,57,76.1°F,74,36.68°F
2026-08-08,18:02,68.54°F,56,74.84°F,51,76.1°F,51,69.08°F,57,76.28°F,72,40.82°F
2026-08-08,19:00,68°F,58,74.66°F,51,76.46°F,50,69.26°F,57,76.82°F,67,43.34°F
2026-08-08,21:00,70.34°F,56,75.74°F,50,75.56°F,50,70.16°F,55,76.46°F,77,37.22°F
2026-08-08,23:01,69.8°F,56,77.18°F,49,75.92°F,53,72.14°F,57,75.92°F,69,31.64°F
2026-08-09,00:58,71.96°F,56,77.9°F,47,75.92°F,51,72.68°F,56,75.92°F,66,37.94°F
2026-08-09,06:00,72.5°F,56,77.54°F,46,75.56°F,53,73.22°F,54,74.84°F,76,36.86°F
2026-08-09,09:00,70.52°F,56,76.28°F,46,75.56°F,53,71.24°F,56,73.94°F,78,40.1°F
2026-08-09,13:30,69.8°F,54,75.38°F,50,75.2°F,54,71.06°F,55,74.66°F,73,35.24°F
2026-08-09,17:00,69.8°F,56,78.26°F,49,75.74°F,46,69.98°F,52,76.64°F,70,34.88°F
2026-08-09,18:02,69.8°F,56,77.54°F,49,76.1°F,49,69.62°F,53,77.36°F,71,44.78°F
2026-08-09,19:00,69.8°F,56,77°F,49,76.82°F,49,69.8°F,54,77.54°F,66,35.06°F
2026-08-09,21:00,69.08°F,58,76.46°F,48,76.82°F,44,70.88°F,52,76.28°F,60,35.96°F
2026-08-09,23:01,69.08°F,56,76.28°F,49,76.64°F,50,71.24°F,52,76.46°F,70,31.28°F
2026-08-10,06:00,72.5°F,54,76.28°F,46,75.74°F,52,73.94°F,51,75.38°F,58,33.44°F
2026-08-10,09:00,71.78°F,56,75.74°F,46,75.74°F,53,72.86°F,55,75.02°F,62,36.14°F
2026-08-10,13:30,73.22°F,56,76.28°F,47,75.02°F,55,72.68°F,54,74.48°F,76,33.44°F
2026-08-10,17:00,70.52°F,56,75.56°F,50,74.48°F,53,69.98°F,56,74.66°F,77,36.5°F
2026-08-10,19:00,70.52°F,58,77.18°F,51,74.66°F,55,71.6°F,58,74.48°F,70,39.02°F
2026-08-10,21:00,70.52°F,56,77.18°F,49,75.02°F,53,71.06°F,56,74.66°F,78,37.58°F
2026-08-10,23:01,71.06°F,58,77.54°F,49,74.84°F,50,70.34°F,50,74.66°F,78,32.18°F
2026-08-11,00:58,72.86°F,56,77.72°F,49,75.38°F,59,72.86°F,57,74.84°F,78,32.54°F
2026-08-11,06:00,72.5°F,56,76.82°F,48,74.84°F,57,73.04°F,55,74.12°F,79,42.62°F
2026-08-11,09:00,70.52°F,56,75.38°F,49,74.66°F,53,70.88°F,57,73.4°F,72,40.82°F
2026-08-11,13:30,71.78°F,58,77.18°F,58,74.3°F,59,71.6°F,58,73.04°F,78,38.66°F
2026-08-11,17:00,71.78°F,56,76.28°F,50,73.94°F,58,72.32°F,58,73.4°F,73,36.68°F
2026-08-11,18:02,72.5°F,56,76.46°F,49,74.3°F,58,72.68°F,56,73.58°F,81,39.02°F
2026-08-11,19:00,70.7°F,56,76.1°F,54,74.3°F,56,71.24°F,57,73.22°F,82,36.5°F
2026-08-11,21:00,73.22°F,56,76.82°F,52,74.48°F,56,72.14°F,56,73.04°F,82,37.04°F
2026-08-11,23:01,70.7°F,56,77.36°F,53,74.3°F,55,71.24°F,58,73.04°F,82,35.78°F
2026-08-12,00:58,70.7°F,56,78.08°F,52,74.48°F,59,72.14°F,60,73.04°F,82,36.14°F
2026-08-12,06:00,72.86°F,58,76.82°F,51,75.38°F,61,73.4°F,61,72.5°F,81,38.3°F
2026-08-12,09:00,72.86°F,58,75.56°F,49,74.48°F,54,71.96°F,57,71.24°F,79,35.78°F
2026-08-12,13:30,70.7°F,56,75.2°F,51,73.94°F,55,70.34°F,59,71.78°F,82,39.2°F
2026-08-12,17:00,72.14°F,58,78.62°F,50,74.48°F,58,71.06°F,58,73.76°F,83,33.98°F
2026-08-12,21:00,68.54°F,56,76.64°F,50,74.3°F,51,72.14°F,56,73.58°F,78,36.86°F
2026-08-12,23:01,73.76°F,60,76.82°F,50,75.02°F,59,73.22°F,59,73.58°F,81,35.6°F
2026-08-13,00:58,73.94°F,60,76.64°F,50,75.2°F,60,73.58°F,62,73.4°F,83,37.4°F
2026-08-13,01:08,73.94°F,60,76.64°F,50,75.2°F,61,73.76°F,62,73.4°F,83,37.4°F
2026-08-13,06:00,73.94°F,60,76.1°F,49,75.2°F,57,73.04°F,60,72.68°F,81,35.42°F
2026-08-13,09:00,73.94°F,60,76.46°F,49,74.66°F,54,73.22°F,56,72.32°F,81,42.08°F
2026-08-13,13:30,71.42°F,58,75.38°F,47,74.84°F,59,71.42°F,58,72.86°F,78,39.38°F
2026-08-13,17:00,68°F,58,75.92°F,51,75.02°F,57,70.34°F,57,73.94°F,73,38.48°F
2026-08-13,18:02,68°F,58,75.2°F,51,75.38°F,54,70.52°F,57,74.12°F,79,36.32°F
2026-08-13,19:00,68°F,58,75.2°F,51,75.74°F,52,69.62°F,57,74.12°F,76,37.76°F
2026-08-13,21:00,71.6°F,58,76.64°F,54,75.2°F,54,72.5°F,55,74.12°F,64,38.12°F
2026-08-13,23:01,71.6°F,58,77.54°F,51,75.2°F,51,71.6°F,54,73.94°F,78,38.3°F
2026-08-14,00:58,71.6°F,58,76.64°F,50,74.12°F,54,69.44°F,57,74.12°F,70,35.6°F
2026-08-14,06:00,72.86°F,56,75.74°F,49,72.68°F,58,67.28°F,62,73.58°F,79,36.32°F
2026-08-14,09:00,72.14°F,56,75.74°F,49,72.14°F,61,66.92°F,62,82.58°F,65,37.04°F
2026-08-14,13:30,71.42°F,58,76.82°F,60,72.14°F,62,69.44°F,65,96.62°F,43,33.8°F
2026-08-14,17:00,71.42°F,58,76.28°F,50,71.78°F,61,70.16°F,63,98.78°F,38,35.24°F
2026-08-14,18:02,71.24°F,58,76.64°F,50,71.78°F,63,70.34°F,63,100.58°F,39,34.16°F
2026-08-14,19:00,72.14°F,58,78.44°F,50,71.78°F,61,70.16°F,63,81.14°F,65,37.58°F
2026-08-14,21:00,68.36°F,58,77.18°F,49,71.78°F,59,67.1°F,63,76.1°F,73,37.22°F
2026-08-14,23:01,70.7°F,58,76.64°F,49,71.78°F,60,69.26°F,60,75.02°F,74,41.36°F
2026-08-15,00:58,70.7°F,58,76.82°F,48,72.68°F,61,70.16°F,63,75.92°F,65,38.12°F
2026-08-15,06:00,71.24°F,56,75.56°F,49,74.3°F,57,69.62°F,60,74.3°F,70,37.94°F
2026-08-15,09:00,72.5°F,60,76.64°F,50,74.66°F,63,72.5°F,63,73.4°F,77,41.36°F
2026-08-15,13:30,70.52°F,56,75.74°F,51,74.3°F,58,71.6°F,63,74.48°F,69,39.2°F
2026-08-15,17:00,71.96°F,58,77.18°F,48,75.38°F,54,71.6°F,58,74.66°F,77,38.12°F
2026-08-15,18:02,71.96°F,58,75.92°F,49,75.56°F,56,71.42°F,57,74.66°F,68,37.04°F
2026-08-15,19:00,71.96°F,58,76.28°F,55,76.1°F,58,72.32°F,57,74.66°F,72,40.64°F
2026-08-15,21:00,70.16°F,56,78.44°F,48,75.74°F,53,72.14°F,56,75.02°F,69,37.4°F
2026-08-15,23:01,71.24°F,56,77.54°F,50,75.74°F,54,71.78°F,56,74.66°F,70,35.96°F
2026-08-16,00:58,71.06°F,56,77.18°F,49,76.28°F,54,72.5°F,57,74.48°F,76,35.6°F
2026-08-16,06:00,72.14°F,56,76.82°F,46,76.46°F,57,73.76°F,62,74.66°F,66,42.26°F
2026-08-16,09:00,71.96°F,56,76.82°F,50,76.46°F,55,72.86°F,59,74.3°F,79,40.82°F
2026-08-16,13:30,71.42°F,56,79.88°F,48,76.1°F,54,71.24°F,59,75.38°F,79,41.72°F
2026-08-16,17:00,70.16°F,58,77.18°F,51,76.1°F,51,71.06°F,56,75.2°F,82,34.7°F
2026-08-16,18:02,70.34°F,58,77.18°F,50,75.92°F,50,71.24°F,56,75.2°F,75,39.38°F
2026-08-16,19:00,71.42°F,58,77.18°F,49,76.1°F,53,72.14°F,56,75.2°F,83,37.04°F
2026-08-16,21:00,71.96°F,58,77.18°F,48,75.92°F,54,72.32°F,55,75.2°F,68,37.94°F
2026-08-19,19:11,69.98°F,58,77.54°F,49,73.76°F,49,70.34°F,56,75.56°F,76,
2026-08-19,19:16,69.8°F,56,77.54°F,49,73.76°F,49,70.34°F,56,75.38°F,76,
2026-08-19,21:00,69.8°F,56,77.36°F,46,72.5°F,54,70.34°F,56,75.38°F,71,
2026-08-19,23:01,70.7°F,54,77°F,46,72.32°F,51,70.16°F,56,75.02°F,61,
2026-08-20,00:58,72.86°F,54,77.36°F,45,72.32°F,55,70.88°F,57,75.2°F,72,
2026-08-20,06:00,72.86°F,54,75.74°F,47,73.76°F,54,70.7°F,56,74.12°F,76,
2026-08-20,09:00,71.24°F,54,76.28°F,47,74.12°F,57,73.04°F,55,73.4°F,77,
2026-08-20,13:30,72.5°F,54,75.74°F,49,73.58°F,58,71.42°F,59,73.76°F,71,
2026-08-20,17:03,72.5°F,54,75.74°F,48,74.3°F,60,72.68°F,58,74.12°F,66,
2026-08-20,19:00,71.78°F,54,75.02°F,49,74.48°F,55,71.96°F,56,73.76°F,67,
2026-08-20,21:00,71.42°F,52,75.02°F,49,74.66°F,54,71.6°F,55,73.76°F,63,
2026-08-20,23:01,72.68°F,54,75.56°F,48,74.66°F,56,72.86°F,55,73.94°F,76,
2026-08-21,00:58,72.68°F,54,76.1°F,51,75.02°F,55,72.32°F,56,73.04°F,78,
2026-08-21,06:00,73.22°F,56,76.64°F,49,75.92°F,57,73.22°F,57,72.68°F,78,
2026-08-21,09:00,73.22°F,56,76.46°F,51,75.74°F,58,73.4°F,60,72.86°F,80,
2026-08-21,11:43,73.22°F,56,75.56°F,49,75.38°F,56,71.96°F,54,72.32°F,76,
2026-08-21,13:30,71.42°F,56,75.38°F,50,75.38°F,56,71.6°F,54,73.04°F,69,
2026-08-21,17:00,71.24°F,54,75.56°F,48,76.64°F,55,73.04°F,57,74.12°F,69,
2026-08-21,18:02,71.24°F,54,76.1°F,51,76.82°F,50,72.5°F,52,74.12°F,72,
2026-08-21,19:00,69.62°F,54,76.28°F,48,76.64°F,49,71.24°F,53,74.48°F,74,
2026-08-21,21:00,71.06°F,54,78.08°F,46,77°F,49,72.5°F,51,74.3°F,73,
2026-08-21,23:01,72.32°F,54,78.26°F,45,75.56°F,47,71.6°F,49,74.84°F,70,
2026-08-22,00:58,71.42°F,52,77.54°F,46,75.92°F,53,71.78°F,54,73.94°F,73,
2026-08-22,06:00,71.24°F,54,76.46°F,46,75.38°F,49,71.96°F,53,72.32°F,74,
2026-08-22,09:00,72.86°F,56,77.18°F,47,75.2°F,59,73.4°F,59,72.32°F,75,
2026-08-22,13:30,72.86°F,56,78.98°F,48,74.66°F,55,71.06°F,55,73.76°F,79,
2026-08-22,17:00,69.8°F,54,77.36°F,47,74.66°F,51,72.5°F,52,74.48°F,68,
2026-08-22,18:02,69.8°F,54,76.1°F,46,75.2°F,50,71.96°F,51,73.58°F,76,
2026-08-22,21:00,71.24°F,52,76.1°F,51,74.84°F,50,72.32°F,50,72.68°F,76,
2026-08-22,21:44,71.6°F,54,77.9°F,53,75.2°F,53,72.32°F,52,72.68°F,77,
2026-08-22,23:01,72.86°F,54,78.26°F,54,74.84°F,54,72.32°F,53,72.68°F,77,
2026-08-23,00:58,73.4°F,54,77.18°F,49,75.38°F,54,71.42°F,54,71.6°F,74,
2026-08-23,06:00,72.86°F,56,77.36°F,50,75.02°F,57,73.04°F,57,71.06°F,74,
2026-08-23,09:00,73.04°F,56,77.36°F,50,75.2°F,62,73.4°F,60,70.7°F,73,
2026-08-23,09:05,73.76°F,56,77.36°F,50,75.2°F,62,73.4°F,59,70.7°F,73,
2026-08-23,13:30,71.78°F,54,75.2°F,47,73.76°F,53,71.6°F,54,71.78°F,69,
2026-08-23,17:00,71.78°F,54,75.2°F,46,74.48°F,48,71.96°F,50,73.22°F,66,
2026-08-23,18:02,71.6°F,52,76.64°F,45,74.3°F,49,71.24°F,50,73.4°F,68,
2026-08-23,19:00,69.8°F,54,77.18°F,45,75.02°F,51,71.96°F,53,73.76°F,67,
2026-08-23,21:00,70.52°F,54,77°F,45,75.56°F,51,72.32°F,53,73.22°F,69,
2026-08-23,23:01,71.78°F,54,77.54°F,45,76.46°F,57,74.3°F,58,73.04°F,70,
2026-08-24,00:58,71.06°F,52,76.64°F,45,76.28°F,54,73.04°F,54,73.22°F,65,
2026-08-24,06:00,71.78°F,52,76.28°F,45,75.56°F,54,72.5°F,56,70.34°F,68,
2026-08-24,09:00,71.78°F,52,75.74°F,45,74.12°F,54,72.32°F,55,68.9°F,69,
2026-08-24,13:30,73.04°F,52,75.38°F,44,73.94°F,53,72.32°F,53,70.7°F,69,
2026-08-24,17:00,69.26°F,52,75.74°F,44,74.48°F,50,69.8°F,52,72.32°F,68,
2026-08-24,18:02,69.26°F,52,76.64°F,43,74.84°F,51,71.6°F,53,72.86°F,65,
2026-08-24,19:00,69.8°F,54,75.2°F,44,75.2°F,52,69.98°F,56,72.68°F,66,
2026-08-24,21:00,69.62°F,52,76.64°F,45,73.94°F,46,68.54°F,52,72.86°F,64,
2026-08-24,23:01,71.96°F,52,77.9°F,43,72.68°F,47,70.34°F,51,72.86°F,68,
2026-08-25,00:58,72.86°F,52,77.54°F,44,72.14°F,53,69.98°F,55,72.5°F,71,
2026-08-25,06:00,73.04°F,52,76.46°F,45,73.4°F,57,72.32°F,57,70.88°F,70,
2026-08-25,09:00,73.58°F,52,76.1°F,45,73.22°F,56,72.32°F,56,70.16°F,71,
2026-08-25,17:00,72.32°F,52,75.02°F,46,73.76°F,52,71.78°F,53,72.86°F,67,
2026-08-25,18:02,72.32°F,52,76.28°F,47,74.66°F,53,69.62°F,58,73.58°F,70,
2026-08-25,19:00,72.32°F,52,76.64°F,48,74.66°F,47,69.62°F,52,73.76°F,71,
2026-08-25,21:00,70.16°F,54,76.82°F,45,73.22°F,48,69.26°F,52,73.76°F,70,
2026-08-25,23:01,71.24°F,52,77.54°F,44,72.5°F,51,69.62°F,53,73.94°F,68,
2026-08-26,00:58,71.24°F,52,76.82°F,44,72.32°F,56,69.98°F,55,73.4°F,74,
2026-08-26,06:00,71.06°F,52,76.64°F,46,73.58°F,57,72.32°F,58,72.14°F,74,
2026-08-26,09:00,73.58°F,54,76.46°F,46,73.58°F,57,72.5°F,57,71.6°F,74,
2026-08-26,13:30,71.06°F,52,77.54°F,45,73.76°F,56,70.88°F,54,72.5°F,71,
2026-08-26,17:00,70.88°F,50,75.2°F,44,73.4°F,47,69.26°F,50,73.94°F,63,
2026-08-26,18:02,70.88°F,50,75.02°F,45,73.4°F,45,68.72°F,50,74.66°F,68,
2026-08-26,19:00,70.34°F,50,77.36°F,46,73.22°F,45,68°F,49,74.48°F,61,
2026-08-26,21:00,70.88°F,50,78.62°F,44,72.68°F,48,68.9°F,49,75.02°F,68,
